TIME  IN1  IN2
-39.063  0.889282  4.79126
-48.828  1.046753  4.767456
-58.594  1.203613  4.742432
-68.359  1.359863  4.717407
-78.125  1.516113  4.692993
-87.891  1.829224  4.6521
-97.656  1.986694  4.633789
-107.422  2.142334  4.61731
-117.188  2.297363  4.60144
-126.953  2.453613  4.586792
-136.719  2.765503  4.562988
-146.484  2.921753  4.552002
-156.25  3.075562  4.542236
-166.016  3.232422  4.534912
-175.781  3.387451  4.526367
-185.547  3.699951  4.514771
-195.313  3.855591  4.509888
-205.078  4.011841  4.506226
-214.844  4.16748  4.504395
-224.609  4.324951  4.505005
-234.375  4.482422  4.511108
-244.141  4.799805  4.694824
-253.906  4.921265  4.82605
-263.672  4.780273  4.706421
-273.438  4.596558  4.538574
-283.203  4.417725  4.467163
-292.969  4.066162  4.433594
-302.734  3.892822  4.421387
-312.5  3.720703  4.4104
-322.266  3.549805  4.401855
-332.031  3.379517  4.3927
-341.797  3.040771  4.37561
-351.563  2.872314  4.368896
-361.328  2.706299  4.360962
-371.094  2.539673  4.353638
-380.859  2.373047  4.347534
-390.625  2.044067  4.333496
-400.391  1.881714  4.328613
-410.156  1.71814  4.32251
-419.922  1.555786  4.316406
-429.688  1.393433  4.311523
-439.453  1.231689  4.30603
-449.219  0.910034  4.295044
-458.984  0.750122  4.290771
-468.75  0.588989  4.285278
-478.516  0.429077  4.280396
-488.281  0.268555  4.276733
-498.047  -0.049438  4.266357
-507.813  -0.20813  4.262695
-517.578  -0.367432  3.953247
-527.344  -0.575562  -4.344482
-537.109  -0.727539  -4.591064
-546.875  -1.040649  -4.558105
-556.641  -1.19812  -4.53064
-566.406  -1.355591  -4.503784
-576.172  -1.51123  -4.478149
-585.938  -1.66748  -4.454956
-595.703  -1.981812  -4.412842
-605.469  -2.139282  -4.395142
-615.234  -2.294312  -4.378052
-625  -2.449341  -4.361572
-634.766  -2.60498  -4.346924
-644.531  -2.91748  -4.321289
-654.297  -3.07312  -4.309692
-664.063  -3.226929  -4.299316
-673.828  -3.383789  -4.290161
-683.594  -3.540039  -4.280396
-693.359  -3.695679  -4.272461
-703.125  -4.005737  -4.257812
-712.891  -4.160767  -4.251709
-722.656  -4.315796  -4.245605
-732.422  -4.470825  -4.235229
-742.188  -4.621582  -3.605347
-751.953  -4.869995  1.907349
-761.719  -4.758911  -0.100098
-771.484  -4.597778  -3.168335
-781.25  -4.424438  -4.231567
-791.016  -4.246216  -4.241333
-800.781  -3.896484  -4.224854
-810.547  -3.724976  -4.214478
-820.313  -3.552856  -4.204712
-830.078  -3.382568  -4.194336
-839.844  -3.21228  -4.185181
-849.609  -2.875977  -4.16687
-859.375  -2.709351  -4.158936
-869.141  -2.542725  -4.151001
-878.906  -2.376709  -4.143066
-888.672  -2.211914  -4.135742
-898.438  -1.885986  -4.122925
-908.203  -1.721802  -4.115601
-917.969  -1.558228  -4.109497
-927.734  -1.396484  -4.103394
-937.5  -1.234131  -4.09729
-947.266  -1.073608  -4.091797
-957.031  -0.751343  -4.0802
-966.797  -0.59082  -4.075317
-976.563  -0.430908  -4.069824
-986.328  -0.273438  -4.067383
-996.094  -0.113525  -4.064331
-1.006  0.203247  -4.028931
-1.016  0.375977  -1.693726
-1.025  0.568848  4.800415
-1.035  0.723267  4.807129
-1.045  0.879517  4.79187
-1.055  1.193848  4.743652
-1.064  1.350098  4.718628
-1.074  1.506348  4.695435
-1.084  1.662598  4.673462
-1.094  1.819458  4.65332
-1.104  2.132568  4.61853
-1.113  2.287598  4.602661
-1.123  2.443237  4.588013
-1.133  2.598877  4.576416
-1.143  2.755737  4.564209
