TIME  IN1  IN2
-722.656  -4.387817  4.476318
-732.422  -4.544678  4.464722
-742.188  -4.699097  4.453125
-751.953  -4.872437  4.433594
-761.719  -4.695435  4.423828
-771.484  -4.515991  4.414673
-781.25  -4.338379  4.407349
-791.016  -4.161377  4.399414
-800.781  -3.812256  4.385376
-810.547  -3.640137  4.379272
-820.313  -3.468018  4.373169
-830.078  -3.296509  4.367676
-839.844  -3.127441  4.362793
-849.609  -2.789917  4.353027
-859.375  -2.62207  4.349365
-869.141  -2.455444  4.344482
-878.906  -2.288818  4.341431
-888.672  -2.123413  4.337158
-898.438  -1.795654  4.330444
-908.203  -1.63208  4.327393
-917.969  -1.467285  4.326172
-927.734  -1.305542  4.321899
-937.5  -1.143799  4.319458
-947.266  -0.982666  4.317627
-957.031  -0.658569  4.312744
-966.797  -0.496826  4.312134
-976.563  -0.338135  4.309692
-986.328  -0.178223  4.308472
-996.094  -0.018921  4.306641
-1.006  0.299072  4.302979
-1.016  0.458374  4.301758
-1.025  0.616455  4.301758
-1.035  0.774536  4.299927
-1.045  0.934448  4.298706
-1.055  1.25061  4.297485
-1.064  1.40625  4.295654
-1.074  1.5625  2.907104
-1.084  1.712646  -4.569702
-1.094  1.87561  -4.597168
-1.104  2.191772  -4.555664
-1.113  2.349243  -4.525757
-1.123  2.505493  -4.49646
-1.133  2.662964  -4.468384
-1.143  2.819824  -4.442139
-1.152  3.131104  -4.395752
-1.162  3.287964  -4.373169
-1.172  3.445435  -4.353638
-1.182  3.600464  -4.335938
-1.191  3.758545  -4.317627
-1.201  3.912964  -4.301147
-1.211  4.227295  -4.271851
-1.221  4.385986  -4.258423
-1.23  4.544067  -4.246216
-1.24  4.703369  -4.232788
-1.25  4.862671  -4.221802
-1.26  4.706421  -4.197388
-1.27  4.525146  -4.188843
-1.279  4.346924  -4.179077
-1.289  4.170532  -4.171143
-1.299  3.994141  -4.163208
-1.309  3.648682  -4.14978
-1.318  3.476562  -4.143677
-1.328  3.305054  -4.138184
-1.338  3.134766  -4.13269
-1.348  2.965698  -4.127197
-1.357  2.630615  -4.118042
-1.367  2.462158  -4.11499
-1.377  2.297363  -4.109497
-1.387  2.132568  -4.105835
-1.396  1.966553  -4.103394
-1.406  1.639404  -4.096069
-1.416  1.47583  -4.093018
-1.426  1.313477  -4.089966
-1.436  1.151123  -4.086914
-1.445  0.98877  -4.085693
-1.455  0.828247  -4.083252
-1.465  0.50415  -4.07959
-1.475  0.344849  -4.075928
-1.484  0.184937  -4.074707
-1.494  0.025635  -4.072876
-1.504  -0.134277  -4.071655
-1.514  -0.452881  -4.068604
-1.523  -0.610352  -4.066162
-1.533  -0.769043  -4.066772
-1.543  -0.926514  -4.064941
-1.553  -1.085205  -4.065552
-1.563  -1.403198  -3.915405
-1.572  -1.549683  4.551392
-1.582  -1.711426  4.831543
-1.592  -1.872559  4.818115
-1.602  -2.030029  4.790649
-1.611  -2.344971  4.732056
-1.621  -2.501221  4.702759
-1.631  -2.659302  4.675903
-1.641  -2.816772  4.651489
-1.65  -2.973633  4.628906
-1.66  -3.284912  4.586792
-1.67  -3.441162  4.568481
-1.68  -3.599243  4.549561
-1.689  -3.754272  4.533081
-1.699  -3.911133  4.518433
-1.709  -4.065552  4.503174
-1.719  -4.377441  4.477539
-1.729  -4.533081  4.464722
-1.738  -4.688721  4.453735
-1.748  -4.84436  4.442749
-1.758  -4.883423  4.434204
-1.768  -4.530029  4.415283
-1.777  -4.352417  4.407959
-1.787  -4.176025  4.399414
-1.797  -3.999023  4.3927
-1.807  -3.826294  4.385986
-1.816  -3.480835  4.373169
-1.826  -3.308716  4.367676
-1.836  -3.139648  4.362793
-1.846  -2.969971  4.3573
-1.855  -2.802734  4.352417
-1.865  -2.467651  4.344482
-1.875  -2.302246  4.34021
-1.885  -2.136841  4.336548
-1.895  -1.973267  4.333496
-1.904  -1.807861  4.330444
-1.914  -1.480713  4.324951
-1.924  -1.318359  4.321289
-1.934  -1.156616  4.318848
-1.943  -0.994873  4.317627
-1.953  -0.83313  4.314575
-1.963  -0.670166  4.312744
-1.973  -0.350342  4.309082
-1.982  -0.19104  4.307251
-1.992  -0.031738  4.306641
-2.002  0.127563  4.304199
-2.012  0.286865  4.302979
-2.021  0.604248  4.301147
-2.031  0.762939  4.299316
-2.041  0.921631  4.298096
-2.051  1.080322  4.298096
-2.061  1.237793  4.296265
-2.07  1.550903  3.577881
-2.08  1.700439  -4.56543
-2.09  1.862793  -4.597778
-2.1  2.023315  -4.584351
-2.109  2.180176  -4.558716
-2.119  2.493286  -4.498901
-2.129  2.651367  -4.470215
-2.139  2.807007  -4.44519
-2.148  2.963867  -4.419556
-2.158  3.118286  -4.397583
-2.168  3.276367  -4.37439
-2.178  3.589478  -4.336548
-2.188  3.746948  -4.318848
-2.197  3.901978  -4.302979
-2.207  4.059448  -4.287109
-2.217  4.216309  -4.273071
-2.227  4.532471  -4.246826
-2.236  4.691772  -4.234009
-2.246  4.851074  -4.223022
-2.256  4.899902  -4.212036
-2.266  4.718018  -4.199219
-2.275  4.358521  -4.179688
-2.285  4.182129  -4.171753
-2.295  4.005127  -4.165039
-2.305  3.833008  -4.157104
-2.314  3.660889  -4.14978
-2.324  3.31665  -4.138794
-2.334  3.146973  -4.13269
-2.344  2.976685  -4.127197
-2.354  2.808228  -4.123535
-2.363  2.642212  -4.117432
-2.373  2.30835  -4.109497
-2.383  2.143555  -4.105835
-2.393  1.97876  -4.102783
-2.402  1.815186  -4.099731
-2.412  1.651001  -4.09668
-2.422  1.488037  -4.092407
-2.432  1.162109  -4.087524
-2.441  1.001587  -4.085083
-2.451  0.839844  -4.082642
-2.461  0.678101  -4.080811
-2.471  0.516357  -4.078979
-2.48  0.196533  -4.074707
-2.49  0.036621  -4.073486
-2.5  -0.122681  -4.071655
-2.51  -0.282593  -4.069824
-2.52  -0.441895  -4.069214
-2.529  -0.758057  -4.066162
-2.539  -0.915527  -4.064941
-2.549  -1.075439  -4.066772
-2.559  -1.23291  -4.054565
-2.568  -1.391602  -4.01062
-2.578  -1.70166  4.832764
-2.588  -1.861572  4.819336
-2.598  -2.020874  4.79248
-2.607  -2.178345  4.761963
-2.617  -2.334595  4.733887
-2.627  -2.647095  4.677734
-2.637  -2.805786  4.65332
-2.646  -2.962036  4.630127
-2.656  -3.118286  4.608154
-2.666  -3.273926  4.588623
-2.676  -3.431396  4.569092
-2.686  -3.743286  4.534302
-2.695  -3.899536  4.519653
-2.705  -4.053955  4.504395
-2.715  -4.211426  4.489746
-2.725  -4.367065  4.478149
-2.734  -4.678345  4.453735
-2.744  -4.833374  4.44397
-2.754  -4.890747  4.433594
-2.764  -4.72168  4.424438
-2.773  -4.542236  4.416504
-2.783  -4.187622  4.400024
-2.793  -4.011841  4.393311
-2.803  -3.838501  4.387207
-2.813  -3.665771  4.379883
-2.822  -3.493652  4.373169
-2.832  -3.151855  4.362793
-2.842  -2.982178  4.35791
-2.852  -2.814941  4.353638
-2.861  -2.647705  4.348755
-2.871  -2.480469  4.344482
-2.881  -2.148438  4.337769
-2.891  -1.984863  4.333496
-2.9  -1.820679  4.330444
-2.91  -1.657104  4.327393
-2.92  -1.491699  4.325562
-2.93  -1.328735  4.32251
-2.939  -1.00708  4.317627
-2.949  -0.844116  4.315186
-2.959  -0.683594  4.312744
-2.969  -0.521851  4.312134
-2.979  -0.361328  4.309082
-2.988  -0.042725  4.307251
-2.998  0.116577  4.30481
-3.008  0.275269  4.302979
-3.018  0.43457  4.302368
-3.027  0.593262  4.301758
-3.037  0.910034  4.299316
-3.047  1.068115  4.297485
-3.057  1.227417  4.297485
-3.066  1.383667  4.295654
-3.076  1.541138  4.084473
-3.086  1.852417  -4.595947
-3.096  2.011719  -4.586792
-3.105  2.169189  -4.559937
-3.115  2.325439  -4.53064
-3.125  2.48291  -4.500732
-3.135  2.796631  -4.447021
-3.145  2.953491  -4.421997
-3.154  3.108521  -4.398804
-3.164  3.265991  -4.377441
-3.174  3.422852  -4.3573
-3.184  3.579102  -4.337769
-3.193  3.891602  -4.303589
-3.203  4.047852  -4.28894
-3.213  4.205322  -4.273682
-3.223  4.364014  -4.259033
-3.232  4.521484  -4.246826
-3.242  4.838867  -4.224243
-3.252  4.907227  -4.213257
-3.262  4.731445  -4.199219
-3.271  4.550171  -4.188843
-3.281  4.371338  -4.180298
-3.291  4.019165  -4.165039
-3.301  3.844604  -4.157715
-3.311  3.673096  -4.150391
-3.32  3.500366  -4.145508
-3.33  3.330688  -4.138794
-3.34  2.989502  -4.127808
-3.35  2.821045  -4.122925
-3.359  2.654419  -4.118042
-3.369  2.486572  -4.11438
-3.379  2.321167  -4.109497
-3.389  1.990356  -4.102173
-3.398  1.826782  -4.099121
-3.408  1.662598  -4.09668
-3.418  1.499634  -4.092407
-3.428  1.33606  -4.090576
-3.438  1.174316  -4.086914
-3.447  0.85144  -4.082642
-3.457  0.690308  -4.080811
-3.467  0.527954  -4.07959
-3.477  0.368042  -4.076538
-3.486  0.20752  -4.074707
-3.496  -0.111694  -4.072266
-3.506  -0.270996  -4.069824
-3.516  -0.429688  -4.068604
-3.525  -0.588379  -4.067383
-3.535  -0.74646  -4.066772
-3.545  -1.063232  -4.066772
-3.555  -1.222534  -4.056396
-3.564  -1.380615  -4.0271
-3.574  -1.5271  3.447266
-3.584  -1.689453  4.833374
-3.594  -2.008667  4.794922
-3.604  -2.167358  4.765625
-3.613  -2.323608  4.736328
-3.623  -2.479858  4.707642
-3.633  -2.637329  4.680176
-3.643  -2.95105  4.631958
-3.652  -3.106689  4.609375
-3.662  -3.261719  4.590454
-3.672  -3.419189  4.570312
-3.682  -3.575439  4.552612
-3.691  -3.7323  4.536133
-3.701  -4.043579  4.505005
-3.711  -4.199219  4.491577
-3.721  -4.356079  4.47876
-3.73  -4.511719  4.466553
-3.74  -4.667969  4.454346
-3.75  -4.896851  4.434814
-3.76  -4.733887  4.425049
-3.77  -4.554443  4.417114
-3.779  -4.376831  4.408569
-3.789  -4.198608  4.400635
-3.799  -3.850098  4.387207
-3.809  -3.677368  4.379883
-3.818  -3.504639  4.37439
