t,u
-2.2072E-03,2.200E+00
-2.2067E-03,2.200E+00
-2.2061E-03,1.800E+00
-2.2056E-03,1.800E+00
-2.2051E-03,2.200E+00
-2.2046E-03,2.200E+00
-2.2041E-03,2.200E+00
-2.2036E-03,2.200E+00
-2.2031E-03,2.200E+00
-2.2026E-03,2.200E+00
-2.2021E-03,1.800E+00
-2.2016E-03,1.800E+00
-2.2011E-03,1.800E+00
-2.2006E-03,1.800E+00
-2.2001E-03,1.800E+00
-2.1996E-03,1.800E+00
-2.1991E-03,2.200E+00
-2.1986E-03,2.200E+00
-2.1981E-03,2.200E+00
-2.1976E-03,1.800E+00
-2.1971E-03,2.200E+00
-2.1966E-03,1.800E+00
-2.1961E-03,2.200E+00
-2.1956E-03,1.800E+00
-2.1951E-03,2.200E+00
-2.1946E-03,1.800E+00
-2.1941E-03,2.200E+00
-2.1935E-03,2.200E+00
-2.1930E-03,1.800E+00
-2.1925E-03,1.800E+00
-2.1920E-03,1.800E+00
-2.1915E-03,1.800E+00
-2.1910E-03,1.800E+00
-2.1905E-03,1.800E+00
-2.1900E-03,1.800E+00
-2.1895E-03,2.200E+00
-2.1890E-03,2.200E+00
-2.1885E-03,2.200E+00
-2.1880E-03,1.800E+00
-2.1875E-03,1.800E+00
-2.1870E-03,2.200E+00
-2.1865E-03,2.200E+00
-2.1860E-03,1.800E+00
-2.1855E-03,1.800E+00
-2.1850E-03,1.800E+00
-2.1845E-03,2.200E+00
-2.1840E-03,1.800E+00
-2.1835E-03,1.800E+00
-2.1830E-03,1.800E+00
-2.1825E-03,1.800E+00
-2.1820E-03,2.200E+00
-2.1815E-03,1.800E+00
-2.1809E-03,1.800E+00
-2.1804E-03,1.800E+00
-2.1799E-03,2.200E+00
-2.1794E-03,2.200E+00
-2.1789E-03,2.200E+00
-2.1784E-03,2.200E+00
-2.1779E-03,1.800E+00
-2.1774E-03,1.800E+00
-2.1769E-03,1.800E+00
-2.1764E-03,1.800E+00
-2.1759E-03,1.800E+00
-2.1754E-03,1.800E+00
-2.1749E-03,1.800E+00
-2.1744E-03,2.200E+00
-2.1739E-03,1.800E+00
-2.1734E-03,1.800E+00
-2.1729E-03,1.800E+00
-2.1724E-03,2.200E+00
-2.1719E-03,1.800E+00
-2.1714E-03,2.200E+00
-2.1709E-03,2.200E+00
-2.1704E-03,2.200E+00
-2.1699E-03,1.800E+00
-2.1694E-03,2.200E+00
-2.1689E-03,2.200E+00
-2.1683E-03,2.200E+00
-2.1678E-03,1.800E+00
-2.1673E-03,2.200E+00
-2.1668E-03,2.200E+00
-2.1663E-03,1.800E+00
-2.1658E-03,1.800E+00
-2.1653E-03,2.200E+00
-2.1648E-03,1.800E+00
-2.1643E-03,1.800E+00
-2.1638E-03,2.200E+00
-2.1633E-03,1.800E+00
-2.1628E-03,1.800E+00
-2.1623E-03,2.200E+00
-2.1618E-03,2.200E+00
-2.1613E-03,2.200E+00
-2.1608E-03,1.800E+00
-2.1603E-03,1.800E+00
-2.1598E-03,1.800E+00
-2.1593E-03,1.800E+00
-2.1588E-03,2.200E+00
-2.1583E-03,1.800E+00
-2.1578E-03,2.200E+00
-2.1573E-03,2.200E+00
-2.1568E-03,2.200E+00
-2.1563E-03,2.200E+00
-2.1557E-03,2.200E+00
-2.1552E-03,1.800E+00
-2.1547E-03,2.200E+00
-2.1542E-03,2.200E+00
-2.1537E-03,1.800E+00
-2.1532E-03,1.800E+00
-2.1527E-03,2.200E+00
-2.1522E-03,1.800E+00
-2.1517E-03,2.200E+00
-2.1512E-03,1.800E+00
-2.1507E-03,2.200E+00
