TIME  IN1  IN2
-1.338  3.234253  4.448853
-1.348  3.065186  4.438477
-1.357  2.730103  4.418945
-1.367  2.562866  4.4104
-1.377  2.39624  4.402466
-1.387  2.230835  4.394531
-1.396  2.06665  4.385986
-1.406  1.740112  4.372559
-1.416  1.576538  4.365234
-1.426  1.413574  4.35791
-1.436  1.251831  4.353027
-1.445  1.090698  4.346313
-1.455  0.930176  4.34082
-1.465  0.606689  4.329834
-1.475  0.446777  4.324341
-1.484  0.286865  4.320068
-1.494  0.128784  4.315796
-1.504  -0.029907  4.310913
-1.514  -0.3479  4.302979
-1.523  -0.506592  4.297485
-1.533  -0.663452  4.293823
-1.543  -0.821533  4.290771
-1.553  -0.979614  4.285889
-1.563  -1.295776  4.278564
-1.572  -1.453247  4.274292
-1.582  -1.609497  4.27063
-1.592  -1.765747  4.267578
-1.602  -1.923218  4.264526
-1.611  -2.250977  1.410522
-1.621  -2.431641  -4.61853
-1.631  -2.583618  -4.63623
-1.641  -2.738037  -4.619141
-1.65  -2.894287  -4.593506
-1.66  -3.204346  -4.537354
-1.67  -3.360596  -4.511719
-1.68  -3.516846  -4.487305
-1.689  -3.673096  -4.465942
-1.699  -3.828735  -4.44519
-1.709  -3.983765  -4.42627
-1.719  -4.293213  -4.391479
-1.729  -4.448242  -4.375
-1.738  -4.603271  -4.353638
-1.748  -4.75769  -4.284668
-1.758  -4.897461  -3.980103
-1.768  -4.628296  -4.282837
-1.777  -4.450073  -4.290771
-1.787  -4.273682  -4.281616
-1.797  -4.09729  -4.269409
-1.807  -3.922119  -4.256592
-1.816  -3.577881  -4.234619
-1.826  -3.407593  -4.224243
-1.836  -3.236084  -4.213867
-1.846  -3.067627  -4.204712
-1.855  -2.900391  -4.194946
-1.865  -2.565918  -4.178467
-1.875  -2.399902  -4.171143
-1.885  -2.235107  -4.163818
-1.895  -2.070923  -4.157104
-1.904  -1.907349  -4.150391
-1.914  -1.5802  -4.136963
-1.924  -1.417847  -4.130859
-1.934  -1.255493  -4.124756
-1.943  -1.094971  -4.118652
-1.953  -0.933228  -4.11377
-1.963  -0.772705  -4.108887
-1.973  -0.45105  -4.098511
-1.982  -0.292358  -4.094238
-1.992  -0.133057  -4.089966
-2.002  0.025024  -4.085693
-2.012  0.184326  -4.081421
-2.021  0.500488  -4.073486
-2.031  0.65918  -4.069214
-2.041  0.817261  -4.065552
-2.051  0.975342  -4.0625
-2.061  1.132812  -4.058838
-2.07  1.446533  -4.055176
-2.08  1.604004  -4.046021
-2.09  1.760864  -4.033813
-2.1  1.918945  -4.012451
-2.109  2.096558  0.50415
-2.119  2.420654  4.872437
-2.129  2.575073  4.853516
-2.139  2.730713  4.827271
-2.148  2.886353  4.800415
-2.158  3.041382  4.775391
-2.168  3.197021  4.751587
-2.178  3.509521  4.709473
-2.188  3.665161  4.691772
-2.197  3.820801  4.675293
-2.207  3.97644  4.660645
-2.217  4.13269  4.649048
-2.227  4.448242  4.633789
-2.236  4.605713  4.649048
-2.246  4.764404  4.755249
-2.256  4.91394  4.905396
