[s],CH2[V]
-2.2525E-02,-8.79961E-01
-2.2520E-02,-8.69961E-01
-2.2515E-02,-8.69961E-01
-2.2510E-02,-8.59961E-01
-2.2505E-02,-8.69961E-01
-2.2500E-02,-8.69961E-01
-2.2495E-02,-8.69961E-01
-2.2490E-02,-8.79961E-01
-2.2485E-02,-8.79961E-01
-2.2480E-02,-8.79961E-01
-2.2475E-02,-8.69961E-01
-2.2470E-02,-8.89961E-01
-2.2465E-02,-8.69961E-01
-2.2460E-02,-8.69961E-01
-2.2455E-02,-8.69961E-01
-2.2450E-02,-8.69961E-01
-2.2445E-02,-8.79961E-01
-2.2440E-02,-8.69961E-01
-2.2435E-02,-8.59961E-01
-2.2430E-02,-8.89961E-01
-2.2425E-02,-8.69961E-01
-2.2420E-02,-8.69961E-01
-2.2415E-02,-8.79961E-01
-2.2410E-02,-8.69961E-01
-2.2405E-02,-8.89961E-01
-2.2400E-02,-8.79961E-01
-2.2395E-02,-8.79961E-01
-2.2390E-02,-8.79961E-01
-2.2385E-02,-8.59961E-01
-2.2380E-02,-8.79961E-01
-2.2375E-02,-8.79961E-01
-2.2370E-02,-8.89961E-01
-2.2365E-02,-8.69961E-01
-2.2360E-02,-8.69961E-01
-2.2355E-02,-8.59961E-01
-2.2350E-02,-8.79961E-01
-2.2345E-02,-8.69961E-01
-2.2340E-02,-8.89961E-01
-2.2335E-02,-8.59961E-01
-2.2330E-02,-8.69961E-01
-2.2325E-02,-8.79961E-01
-2.2320E-02,-8.69961E-01
-2.2315E-02,-8.69961E-01
-2.2310E-02,-8.69961E-01
-2.2305E-02,-8.69961E-01
-2.2300E-02,-8.69961E-01
-2.2295E-02,-8.69961E-01
-2.2290E-02,-8.69961E-01
-2.2285E-02,-8.79961E-01
-2.2280E-02,-8.69961E-01
-2.2275E-02,-8.69961E-01
-2.2270E-02,-8.79961E-01
-2.2265E-02,-8.69961E-01
-2.2260E-02,-8.79961E-01
-2.2255E-02,-8.79961E-01
-2.2250E-02,-8.79961E-01
-2.2245E-02,-8.79961E-01
-2.2240E-02,-8.79961E-01
-2.2235E-02,-8.59961E-01
-2.2230E-02,-8.69961E-01
-2.2225E-02,-8.79961E-01
-2.2220E-02,-8.89961E-01
-2.2215E-02,-8.79961E-01
-2.2210E-02,-8.79961E-01
-2.2205E-02,-8.69961E-01
-2.2200E-02,-8.79961E-01
-2.2195E-02,-8.79961E-01
-2.2190E-02,-8.79961E-01
-2.2185E-02,-8.69961E-01
-2.2180E-02,-8.79961E-01
-2.2175E-02,-8.69961E-01
-2.2170E-02,-8.79961E-01
-2.2165E-02,-8.59961E-01
-2.2160E-02,-8.69961E-01
-2.2155E-02,-8.79961E-01
-2.2150E-02,-8.79961E-01
-2.2145E-02,-8.79961E-01
-2.2140E-02,-8.79961E-01
-2.2135E-02,-8.69961E-01
-2.2130E-02,-8.79961E-01
-2.2125E-02,-8.79961E-01
-2.2120E-02,-8.79961E-01
-2.2115E-02,-8.79961E-01
-2.2110E-02,-8.69961E-01
-2.2105E-02,-8.79961E-01
-2.2100E-02,-8.69961E-01
-2.2095E-02,-8.79961E-01
-2.2090E-02,-8.79961E-01
-2.2085E-02,-8.69961E-01
-2.2080E-02,-8.59961E-01
-2.2075E-02,-8.69961E-01
-2.2070E-02,-8.79961E-01
-2.2065E-02,-8.69961E-01
-2.2060E-02,-8.79961E-01
-2.2055E-02,-8.69961E-01
-2.2050E-02,-8.79961E-01
-2.2045E-02,-8.79961E-01
-2.2040E-02,-8.59961E-01
-2.2035E-02,-8.69961E-01
-2.2030E-02,-8.79961E-01
-2.2025E-02,-8.89961E-01
-2.2020E-02,-8.79961E-01
-2.2015E-02,-8.69961E-01
-2.2010E-02,-8.79961E-01
-2.2005E-02,-8.49961E-01
-2.2000E-02,-8.69961E-01
-2.1995E-02,-8.79961E-01
-2.1990E-02,-8.89961E-01
-2.1985E-02,-8.69961E-01
-2.1980E-02,-8.79961E-01
-2.1975E-02,-8.69961E-01
-2.1970E-02,-8.79961E-01
-2.1965E-02,-8.79961E-01
-2.1960E-02,-8.79961E-01
-2.1955E-02,-8.69961E-01
-2.1950E-02,-8.69961E-01
-2.1945E-02,-8.89961E-01
-2.1940E-02,-8.89961E-01
-2.1935E-02,-8.79961E-01
-2.1930E-02,-8.69961E-01
-2.1925E-02,-8.89961E-01
-2.1920E-02,-8.69961E-01
-2.1915E-02,-8.79961E-01
-2.1910E-02,-8.69961E-01
-2.1905E-02,-8.69961E-01
-2.1900E-02,-8.69961E-01
-2.1895E-02,-8.79961E-01
-2.1890E-02,-8.79961E-01
-2.1885E-02,-8.79961E-01
-2.1880E-02,-8.69961E-01
-2.1875E-02,-8.69961E-01
-2.1870E-02,-8.79961E-01
-2.1865E-02,-8.59961E-01
-2.1860E-02,-8.69961E-01
-2.1855E-02,-8.69961E-01
-2.1850E-02,-8.79961E-01
-2.1845E-02,-8.69961E-01
-2.1840E-02,-8.79961E-01
-2.1835E-02,-8.69961E-01
-2.1830E-02,-8.59961E-01
-2.1825E-02,-8.79961E-01
-2.1820E-02,-8.79961E-01
-2.1815E-02,-8.89961E-01
-2.1810E-02,-8.69961E-01
