[s],CH2[V]
-2.1600E-03,-4.840E-01
-2.1595E-03,-4.840E-01
-2.1590E-03,-4.840E-01
-2.1585E-03,-4.840E-01
-2.1580E-03,-4.760E-01
-2.1575E-03,-4.760E-01
-2.1570E-03,-4.680E-01
-2.1565E-03,-4.680E-01
-2.1560E-03,-4.680E-01
-2.1555E-03,-4.680E-01
-2.1550E-03,-4.680E-01
-2.1545E-03,-4.600E-01
-2.1540E-03,-4.680E-01
-2.1535E-03,-4.600E-01
-2.1530E-03,-4.600E-01
-2.1525E-03,-4.520E-01
-2.1520E-03,-4.520E-01
-2.1515E-03,-4.440E-01
-2.1510E-03,-4.520E-01
-2.1505E-03,-4.520E-01
-2.1500E-03,-4.520E-01
-2.1495E-03,-4.440E-01
-2.1490E-03,-4.440E-01
-2.1485E-03,-4.440E-01
-2.1480E-03,-4.280E-01
-2.1475E-03,-4.360E-01
-2.1470E-03,-4.360E-01
-2.1465E-03,-4.360E-01
-2.1460E-03,-4.360E-01
-2.1455E-03,-4.360E-01
-2.1450E-03,-4.200E-01
-2.1445E-03,-4.200E-01
-2.1440E-03,-4.360E-01
-2.1435E-03,-4.200E-01
-2.1430E-03,-4.200E-01
-2.1425E-03,-4.200E-01
-2.1420E-03,-4.120E-01
-2.1415E-03,-4.120E-01
-2.1410E-03,-4.120E-01
-2.1405E-03,-4.120E-01
-2.1400E-03,-4.200E-01
-2.1395E-03,-4.200E-01
-2.1390E-03,-4.120E-01
-2.1385E-03,-4.040E-01
-2.1380E-03,-3.960E-01
-2.1375E-03,-3.960E-01
-2.1370E-03,-3.960E-01
-2.1365E-03,-3.960E-01
-2.1360E-03,-3.960E-01
-2.1355E-03,-3.960E-01
-2.1350E-03,-3.880E-01
-2.1345E-03,-3.960E-01
-2.1340E-03,-3.960E-01
-2.1335E-03,-3.800E-01
-2.1330E-03,-3.880E-01
-2.1325E-03,-3.800E-01
-2.1320E-03,-3.800E-01
-2.1315E-03,-3.720E-01
-2.1310E-03,-3.800E-01
-2.1305E-03,-3.800E-01
-2.1300E-03,-3.880E-01
-2.1295E-03,-3.800E-01
-2.1290E-03,-3.720E-01
-2.1285E-03,-3.640E-01
-2.1280E-03,-3.560E-01
-2.1275E-03,-3.640E-01
-2.1270E-03,-3.640E-01
-2.1265E-03,-3.640E-01
-2.1260E-03,-3.640E-01
-2.1255E-03,-3.640E-01
-2.1250E-03,-3.560E-01
-2.1245E-03,-3.560E-01
-2.1240E-03,-3.560E-01
-2.1235E-03,-3.480E-01
-2.1230E-03,-3.560E-01
-2.1225E-03,-3.480E-01
-2.1220E-03,-3.480E-01
-2.1215E-03,-3.400E-01
-2.1210E-03,-3.400E-01
-2.1205E-03,-3.400E-01
-2.1200E-03,-3.480E-01
-2.1195E-03,-3.400E-01
-2.1190E-03,-3.320E-01
-2.1185E-03,-3.400E-01
-2.1180E-03,-3.240E-01
-2.1175E-03,-3.320E-01
-2.1170E-03,-3.320E-01
-2.1165E-03,-3.320E-01
-2.1160E-03,-3.320E-01
-2.1155E-03,-3.240E-01
-2.1150E-03,-3.240E-01
-2.1145E-03,-3.160E-01
-2.1140E-03,-3.240E-01
-2.1135E-03,-3.160E-01
-2.1130E-03,-3.240E-01
-2.1125E-03,-3.160E-01
-2.1120E-03,-3.160E-01
-2.1115E-03,-3.160E-01
-2.1110E-03,-3.080E-01
-2.1105E-03,-3.160E-01
-2.1100E-03,-3.160E-01
-2.1095E-03,-3.240E-01
-2.1090E-03,-3.080E-01
-2.1085E-03,-3.080E-01
-2.1080E-03,-2.920E-01
-2.1075E-03,-3.000E-01
-2.1070E-03,-3.000E-01
-2.1065E-03,-3.000E-01
-2.1060E-03,-3.000E-01
-2.1055E-03,-3.000E-01
-2.1050E-03,-3.000E-01
-2.1045E-03,-2.840E-01
-2.1040E-03,-2.920E-01
-2.1035E-03,-2.920E-01
-2.1030E-03,-3.000E-01
-2.1025E-03,-2.920E-01
-2.1020E-03,-2.920E-01
-2.1015E-03,-2.920E-01
-2.1010E-03,-2.760E-01
-2.1005E-03,-2.840E-01
-2.1000E-03,-2.760E-01
-2.0995E-03,-2.840E-01
-2.0990E-03,-2.760E-01
-2.0985E-03,-2.760E-01
-2.0980E-03,-2.600E-01
-2.0975E-03,-2.840E-01
-2.0970E-03,-2.840E-01
-2.0965E-03,-2.760E-01
-2.0960E-03,-2.840E-01
-2.0955E-03,-2.760E-01
-2.0950E-03,-2.680E-01
-2.0945E-03,-2.520E-01
-2.0940E-03,-2.600E-01
-2.0935E-03,-2.600E-01
-2.0930E-03,-2.680E-01
-2.0925E-03,-2.680E-01
-2.0920E-03,-2.600E-01
-2.0915E-03,-2.600E-01
-2.0910E-03,-2.520E-01
-2.0905E-03,-2.520E-01
-2.0900E-03,-2.600E-01
-2.0895E-03,-2.600E-01
-2.0890E-03,-2.440E-01
-2.0885E-03,-2.520E-01
-2.0880E-03,-2.360E-01
-2.0875E-03,-2.520E-01
-2.0870E-03,-2.520E-01
-2.0865E-03,-2.440E-01
-2.0860E-03,-2.600E-01
-2.0855E-03,-2.360E-01
-2.0850E-03,-2.360E-01
-2.0845E-03,-2.360E-01
-2.0840E-03,-2.440E-01
-2.0835E-03,-2.280E-01
-2.0830E-03,-2.360E-01
-2.0825E-03,-2.360E-01
-2.0820E-03,-2.280E-01
-2.0815E-03,-2.280E-01
-2.0810E-03,-2.200E-01
-2.0805E-03,-2.360E-01
-2.0800E-03,-2.280E-01
-2.0795E-03,-2.280E-01
-2.0790E-03,-2.120E-01
-2.0785E-03,-2.200E-01
-2.0780E-03,-2.120E-01
-2.0775E-03,-2.200E-01
