time,V(n002)
5.569978098030222e-002,-8.723043e-001
5.570235177011529e-002,-8.754569e-001
5.570266283525537e-002,-8.758383e-001
5.570328496553552e-002,-8.766011e-001
5.570416414857733e-002,-8.776790e-001
5.570487479856602e-002,-8.785502e-001
5.570534553460743e-002,-8.791273e-001
5.570569837171217e-002,-8.795599e-001
5.570595176625641e-002,-8.798705e-001
5.570616079738486e-002,-8.801268e-001
5.570636571322159e-002,-8.803779e-001
5.570659834606212e-002,-8.806631e-001
5.570684513193930e-002,-8.809657e-001
5.570713235294784e-002,-8.813177e-001
5.570739334391076e-002,-8.816376e-001
5.570767626627415e-002,-8.819844e-001
5.570795260692063e-002,-8.823231e-001
5.570827162690117e-002,-8.827141e-001
5.570846692089060e-002,-8.829535e-001
5.570862154650723e-002,-8.831430e-001
5.570896999180786e-002,-8.835700e-001
5.570914893386865e-002,-8.837894e-001
5.570950681799024e-002,-8.842280e-001
5.570985034891493e-002,-8.846490e-001
5.571224240406414e-002,-8.875802e-001
5.575622878282407e-002,-9.414017e-001
5.580021516158399e-002,-9.949517e-001
5.584420154034392e-002,-1.048230e+000
5.588818791910384e-002,-1.101237e+000
5.593217429786377e-002,-1.153973e+000
5.597616067662369e-002,-1.206437e+000
5.602014705538362e-002,-1.258629e+000
5.632293655176988e-002,-1.610070e+000
5.672293655176988e-002,-2.052796e+000
5.712293655176988e-002,-2.464583e+000
5.752293655176988e-002,-2.837503e+000
5.792293655176987e-002,-3.165673e+000
5.832293655176987e-002,-3.443919e+000
5.872293655176987e-002,-3.667852e+000
5.912293655176987e-002,-3.833941e+000
5.952293655176986e-002,-3.941586e+000
5.987135221433598e-002,-3.983662e+000
6.025216199809555e-002,-3.972490e+000
6.065216199809555e-002,-3.900899e+000
6.105216199809554e-002,-3.768544e+000
6.145216199809554e-002,-3.576756e+000
6.185216199809554e-002,-3.328562e+000
6.225216199809554e-002,-3.027874e+000
6.265216199809554e-002,-2.679434e+000
6.305216199809553e-002,-2.288738e+000
6.345216199809553e-002,-1.861948e+000
6.385216199809553e-002,-1.405793e+000
6.425216199809553e-002,-9.274683e-001
6.465216199809552e-002,-4.345168e-001
6.505216199809552e-002,6.558701e-002
6.549275826356434e-002,6.162405e-001
6.566042376983795e-002,8.239688e-001
6.567816081634104e-002,8.457650e-001
6.569705954038209e-002,8.689661e-001
6.569810937358639e-002,8.702542e-001
6.570020903999498e-002,8.728292e-001
6.570246814384462e-002,8.755996e-001
6.570273833816867e-002,8.759308e-001
6.570327872681679e-002,8.765934e-001
6.570414080008086e-002,8.776504e-001
6.570484644068117e-002,8.785155e-001
6.570531824201732e-002,8.790939e-001
6.570567286022762e-002,8.795286e-001
6.570592789219203e-002,8.798413e-001
6.570613753543828e-002,8.800982e-001
6.570634212916671e-002,8.803490e-001
6.570657497669839e-002,8.806345e-001
6.570682048205156e-002,8.809354e-001
6.570710842274169e-002,8.812883e-001
6.570736898288157e-002,8.816078e-001
6.570765243214077e-002,8.819551e-001
6.570792851707420e-002,8.822936e-001
6.570824765155707e-002,8.826847e-001
6.570844414516676e-002,8.829256e-001
6.570859799357279e-002,8.831141e-001
6.570894560260426e-002,8.835402e-001
6.570912295176490e-002,8.837575e-001
6.570947765008617e-002,8.841922e-001
6.570982723748146e-002,8.846207e-001
6.571224416996277e-002,8.875824e-001
6.575745475863831e-002,9.429001e-001
6.580266534731387e-002,9.979293e-001
6.584787593598941e-002,1.052670e+000
6.589308652466497e-002,1.107122e+000
6.593829711334051e-002,1.161285e+000
6.598350770201607e-002,1.215159e+000
6.602871829069161e-002,1.268745e+000
6.634024882774590e-002,1.629757e+000
6.674024882774590e-002,2.071338e+000
6.714024882774590e-002,2.481573e+000
6.754024882774590e-002,2.852673e+000
6.794024882774589e-002,3.178784e+000
6.834024882774589e-002,3.454764e+000
6.874024882774589e-002,3.676260e+000
6.914024882774589e-002,3.839779e+000
6.954024882774589e-002,3.945190e+000
6.987778939175196e-002,3.984521e+000
7.025455771803001e-002,3.972410e+000
7.065455771803000e-002,3.900287e+000
7.105455771803000e-002,3.767569e+000
