time,V(n002)
4.821257997757679e-002,3.385754e+000
4.821460612727987e-002,3.387110e+000
4.821865842668605e-002,3.389817e+000
4.821925891279515e-002,3.390218e+000
4.822045988501336e-002,3.391018e+000
4.822216540028541e-002,3.392154e+000
4.822316511925243e-002,3.392820e+000
4.822326688874321e-002,3.392888e+000
4.822347042772476e-002,3.393023e+000
4.822387750568789e-002,3.393294e+000
4.822430487723504e-002,3.393579e+000
4.822465984262137e-002,3.393815e+000
4.822493735064101e-002,3.393999e+000
4.822518214721770e-002,3.394162e+000
4.822537962547584e-002,3.394293e+000
4.822552408639982e-002,3.394389e+000
4.822562970097126e-002,3.394459e+000
4.822571439521373e-002,3.394516e+000
4.822579188517409e-002,3.394567e+000
4.822587411517645e-002,3.394622e+000
4.822596185145799e-002,3.394680e+000
4.822606077502784e-002,3.394746e+000
4.822616279642286e-002,3.394814e+000
4.822626730221864e-002,3.394883e+000
4.822638596297060e-002,3.394962e+000
4.822643966327128e-002,3.394998e+000
4.822649692423424e-002,3.395036e+000
4.822682453088477e-002,3.395254e+000
4.822709236824195e-002,3.395432e+000
4.822762804295633e-002,3.395787e+000
4.822764069017499e-002,3.395796e+000
4.822786834011078e-002,3.395947e+000
4.822809599004657e-002,3.396098e+000
4.822832363998236e-002,3.396249e+000
4.822855128991815e-002,3.396400e+000
4.822877893985395e-002,3.396551e+000
4.822900658978974e-002,3.396702e+000
4.822923423972553e-002,3.396853e+000
4.823195722875415e-002,3.398659e+000
4.823468021778277e-002,3.400462e+000
4.823740320681139e-002,3.402262e+000
4.824012619584001e-002,3.404060e+000
4.824284918486863e-002,3.405854e+000
4.824557217389726e-002,3.407645e+000
4.824829516292588e-002,3.409434e+000
4.881884645812572e-002,3.720983e+000
4.938939775332557e-002,3.910900e+000
4.995994904852542e-002,3.979185e+000
5.053050034372526e-002,3.925838e+000
5.110105163892510e-002,3.750858e+000
5.167160293412495e-002,3.454245e+000
5.224215422932479e-002,3.036000e+000
5.264215422932479e-002,2.688692e+000
5.304215422932479e-002,2.298980e+000
5.344215422932479e-002,1.873013e+000
5.384215422932479e-002,1.417507e+000
5.424215422932478e-002,9.396461e-001
5.464215422932478e-002,4.469664e-001
5.504215422932478e-002,-5.276217e-002
5.544215422932478e-002,-5.516587e-001
5.584215422932477e-002,-1.041855e+000
5.624215422932477e-002,-1.515621e+000
5.664215422932477e-002,-1.965485e+000
5.704215422932477e-002,-2.388301e+000
5.728009356766281e-002,-2.622119e+000
5.755860687844663e-002,-2.875441e+000
5.779123510644135e-002,-3.069968e+000
5.807635472566121e-002,-3.290697e+000
5.818625261293732e-002,-3.367997e+000
5.819059108315267e-002,-3.370959e+000
5.819926802358336e-002,-3.376809e+000
5.821291888946505e-002,-3.385981e+000
5.821482326492031e-002,-3.387256e+000
5.821863201583083e-002,-3.389799e+000
5.821927527205363e-002,-3.390229e+000
5.822056178449922e-002,-3.391086e+000
5.822214509382499e-002,-3.392141e+000
5.822311789132878e-002,-3.392789e+000
5.822323072927156e-002,-3.392864e+000
5.822345640515712e-002,-3.393014e+000
5.822390775692826e-002,-3.393314e+000
5.822434757270661e-002,-3.393607e+000
5.822470826489089e-002,-3.393847e+000
5.822498746625415e-002,-3.394032e+000
5.822523280450476e-002,-3.394196e+000
5.822542970539368e-002,-3.394327e+000
5.822557331260631e-002,-3.394422e+000
5.822567839514854e-002,-3.394492e+000
5.822576285755014e-002,-3.394548e+000
5.822584031571665e-002,-3.394599e+000
5.822592267730965e-002,-3.394654e+000
5.822601041881688e-002,-3.394713e+000
5.822610952534293e-002,-3.394778e+000
5.822621138118544e-002,-3.394846e+000
5.822631591940343e-002,-3.394916e+000
5.822643447878728e-002,-3.394994e+000
5.822648827374892e-002,-3.395030e+000
5.822654601526697e-002,-3.395069e+000
5.822687608998316e-002,-3.395288e+000
5.822714563427089e-002,-3.395467e+000
5.822768472284638e-002,-3.395825e+000
5.822769550880959e-002,-3.395832e+000
5.822800023412657e-002,-3.396034e+000
5.822830495944356e-002,-3.396237e+000
5.822860968476055e-002,-3.396439e+000
5.822891441007753e-002,-3.396641e+000
5.822921913539451e-002,-3.396843e+000
5.822952386071150e-002,-3.397046e+000
5.822982858602849e-002,-3.397248e+000
5.823362216645733e-002,-3.399762e+000
5.823741574688618e-002,-3.402271e+000
5.824120932731502e-002,-3.404774e+000
5.824500290774387e-002,-3.407271e+000
5.824879648817272e-002,-3.409762e+000
5.825259006860156e-002,-3.412248e+000
5.825638364903041e-002,-3.414727e+000
5.879993290342459e-002,-3.713783e+000
5.934348215781877e-002,-3.901865e+000
5.988703141221295e-002,-3.978973e+000
6.043058066660713e-002,-3.945107e+000
6.097412992100131e-002,-3.800268e+000
6.151767917539550e-002,-3.544455e+000
6.206122842978967e-002,-3.177669e+000
6.246122842978967e-002,-2.851382e+000
6.286122842978967e-002,-2.480126e+000
6.326122842978967e-002,-2.069758e+000
6.366122842978966e-002,-1.626748e+000
6.406122842978966e-002,-1.158084e+000
6.446122842978966e-002,-6.711556e-001
6.486122842978966e-002,-1.736429e-001
6.526122842978965e-002,3.266082e-001
6.566122842978965e-002,8.217084e-001
6.606122842978965e-002,1.303850e+000
6.646122842978965e-002,1.765429e+000
6.686122842978964e-002,2.201764e+000
6.714691916809253e-002,2.492507e+000
6.745526358907826e-002,2.783475e+000
6.768932659693530e-002,2.986959e+000
6.795484229693498e-002,3.201663e+000
6.806046788726665e-002,3.279338e+000
6.820130200770887e-002,3.378169e+000
6.820299312569034e-002,3.379325e+000
6.820637536165326e-002,3.381596e+000
6.821313983357913e-002,3.386130e+000
6.821477085904484e-002,3.387221e+000
6.821803290997629e-002,3.389400e+000
6.821884842270914e-002,3.389944e+000
6.822047944817486e-002,3.391031e+000
6.822177307474552e-002,3.391893e+000
6.822276960133644e-002,3.392557e+000
6.822293133081650e-002,3.392664e+000
6.822325478977663e-002,3.392880e+000
6.822390170769688e-002,3.393310e+000
6.822438444777057e-002,3.393631e+000
6.822474724501321e-002,3.393873e+000
6.822501604285604e-002,3.394052e+000
6.822525037322978e-002,3.394207e+000
6.822543214548191e-002,3.394328e+000
6.822556368206426e-002,3.394416e+000
6.822566183957024e-002,3.394481e+000
6.822574338087023e-002,3.394535e+000
6.822582091502108e-002,3.394587e+000
