TIME  IN1  IN2  OUT1
-966.797  -0.058594  -1.980591  -0.066406
-976.563  -0.042114  -2.020264  -0.046875
-986.328  -0.025635  -1.993408  -0.027344
-996.094  -0.008545  -1.953125  -0.007812
-1.006  0.025024  -1.917114  0.011719
-1.016  0.040283  -1.925659  0.03125
-1.025  0.056763  -1.976318  0.050781
-1.035  0.073242  -1.976929  0.070312
-1.045  0.089722  -1.964111  0.089844
-1.055  0.12207  -1.940308  0.109375
-1.064  0.13855  -1.930542  0.128906
-1.074  0.154419  -1.940918  0.148438
-1.084  0.170898  -1.948853  0.167969
-1.094  0.186768  -1.956787  0.1875
-1.104  0.219727  -1.928101  0.207031
-1.113  0.235596  -1.914673  0.226562
-1.123  0.251465  -1.948242  0.246094
-1.133  0.268555  -1.952515  0.265625
-1.143  0.284424  -1.928711  0.285156
-1.152  0.316162  -1.928711  0.304688
-1.162  0.332642  -1.940918  0.324219
-1.172  0.348511  -1.948242  0.34375
-1.182  0.365601  -1.936035  0.363281
-1.191  0.38147  -1.928711  0.382812
-1.201  0.397949  -1.905518  0.402344
-1.211  0.429688  -1.946411  0.421875
-1.221  0.444946  -1.952515  0.441406
-1.23  0.462036  -1.937256  0.460938
-1.24  0.477905  -1.916504  0.480469
-1.25  0.493774  -1.918945  0.5
-1.26  0.487061  1.372681  0.480469
-1.27  0.473022  3.770142  0.460938
-1.279  0.452881  3.912964  0.441406
-1.289  0.432129  3.604126  0.421875
-1.299  0.407715  1.721191  0.402344
-1.309  0.372925  0.966797  0.382812
-1.318  0.359497  2.277832  0.363281
-1.328  0.343018  3.091431  0.34375
-1.338  0.324707  2.832642  0.324219
-1.348  0.303955  1.986084  0.304688
-1.357  0.269165  1.502075  0.285156
-1.367  0.253296  2.050171  0.265625
-1.377  0.237427  2.444458  0.246094
-1.387  0.219116  2.369385  0.226562
-1.396  0.200806  2.016602  0.207031
-1.406  0.166626  1.768188  0.1875
-1.416  0.151367  1.978149  0.167969
-1.426  0.134277  2.160645  0.148438
-1.436  0.117798  2.148438  0.128906
-1.445  0.100098  2.001953  0.109375
-1.455  0.083618  1.859741  0.089844
-1.465  0.05188  1.968384  0.070312
-1.475  0.03479  2.061157  0.050781
-1.484  0.018311  2.06543  0.03125
-1.494  0.00061  1.981812  0.011719
-1.504  -0.015869  1.893311  -0.007812
-1.514  -0.047607  1.900024  -0.027344
-1.523  -0.064087  2.023315  -0.046875
-1.533  -0.080566  2.058105  -0.066406
-1.543  -0.097656  1.984863  -0.085938
-1.553  -0.114136  1.90918  -0.105469
-1.563  -0.146484  1.904907  -0.125
-1.572  -0.162354  1.949463  -0.144531
